,city,state,20th_x,40th_x,Median_x,60th_x,80th_x,95th_x,Unnamed: 0.1,20th_y,40th_y,Median_y,60th_y,80th_y,95th_y,20th % of Median,40th % of Median,60th % of Median,80th % of Median,95th % of Median,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
83,Austin,Texas,22503.0,43209.0,56681.0,74119.0,107441.0,188821.0,781,25765,47973,60939,75623,122058,238196,0.4227998490293573,0.7872298528036233,1.240962273749159,2.0029537734455767,3.90876122023663,25.0,2.6,834.0,85.8,987.0,101.5,2186.0,224.9,4380.0,450.6,24542.0,2525.0,2079.0,213.9,76.0,7.8,298.9,166318.0
84,Dallas,Texas,22435.0,40818.0,51411.0,64347.0,105712.0,214436.0,788,19460,35645,45215,56869,99244,231636,0.4303881455269269,0.7883445759150725,1.2577463231228574,2.1949353090788457,5.122990158133363,167.0,12.5,831.0,62.1,4377.0,327.0,4994.0,373.1,9874.0,737.7,24847.0,1856.3,7913.0,591.2,351.0,26.2,420.5,192001.0
85,Denton,Texas,34540.0,61228.0,76678.0,95259.0,144214.0,250001.0,789,19641,38199,50487,63078,98804,166058,0.38903083962208096,0.756610612632955,1.249390932319211,1.957018638461386,3.289123932893616,1.0,0.7,120.0,87.7,94.0,68.7,201.0,146.9,426.0,311.3,2367.0,1729.8,298.0,217.8,0.0,0.0,230.0,215461.0
86,Houston,Texas,14125.0,25923.0,32434.0,42283.0,73128.0,117927.0,793,19556,36519,47010,60115,105106,227985,0.4159965964688364,0.7768347160178686,1.278770474367156,2.2358221654967028,4.849712827058073,269.0,11.5,1366.0,58.4,9773.0,418.0,14201.0,607.3,17108.0,731.7,67828.0,2900.8,11596.0,495.9,665.0,28.4,523.5,103802.0
87,Lubbock,Texas,20378.0,37291.0,46859.0,57782.0,94418.0,176787.0,799,19342,35840,45499,55361,91223,169319,0.4251082441372338,0.7877096199916481,1.2167520165278358,2.0049451636299698,3.721378491834985,6.0,2.4,177.0,70.0,471.0,186.2,2087.0,825.2,2678.0,1058.9,8933.0,3532.2,1050.0,415.2,47.0,18.6,530.3,156409.0
88,Midland,Texas,31777.0,57271.0,71424.0,90183.0,140348.0,250001.0,803,31727,57898,71500,89252,140353,250001,0.4437342657342657,0.8097622377622378,1.2482797202797202,1.962979020979021,3.4965174825174827,2.0,1.4,37.0,26.6,59.0,42.5,279.0,200.8,431.0,310.2,2026.0,1458.0,220.0,158.3,5.0,3.6,169.8,218224.0
89,Tyler,Texas,18601.0,35876.0,45427.0,59685.0,87626.0,146014.0,811,20111,35390,44507,55045,90351,192632,0.4518615049318085,0.7951558181859033,1.236771743770643,2.0300402183926125,4.328128159615342,6.0,5.7,65.0,61.3,60.0,56.5,333.0,313.8,446.0,420.3,2745.0,2586.8,146.0,137.6,4.0,3.8,283.9,127413.0
90,Tooele,Utah,33006.0,53991.0,64149.0,75351.0,108050.0,159938.0,836,30900,49886,56602,68541,97474,147117,0.5459171054026359,0.8813469488710646,1.2109289424401966,1.7220946256316032,2.599148439984453,0.0,0.0,40.0,117.3,20.0,58.6,51.0,149.5,180.0,527.7,931.0,2729.2,74.0,216.9,5.0,14.7,304.8,126932.0
91,Washington,Utah,25268.0,42681.0,52865.0,63025.0,94453.0,172290.0,837,24820,44425,54463,64159,92825,167578,0.4557222334428878,0.8156913868130657,1.1780291206874391,1.7043681031158768,3.0769146025742247,0.0,0.0,9.0,33.8,0.0,0.0,22.0,82.7,67.0,251.7,380.0,1427.6,21.0,78.9,2.0,7.5,124.6,147022.0
92,Rutland,Vermont,20659.0,39052.0,50029.0,61592.0,93325.0,158753.0,842,16516,31316,41502,51752,81692,157888,0.3979567249771096,0.754566045009879,1.2469760493470194,1.9683870656835816,3.804346778468508,1.0,6.5,9.0,58.2,8.0,51.7,67.0,433.3,99.0,640.3,402.0,2599.9,9.0,58.2,1.0,6.5,315.2,138094.0
