,city,state,20th,40th,Median,60th,80th,95th,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
95,Bakersfield,California,23625,46148,58669,72882,112511,195079,41.0,10.8,92.0,24.1,753.0,197.6,941.0,246.9,3667.0,962.1,9063.0,2377.8,2777.0,728.6,269.0,70.6,370.2,171454
96,Concord,California,31577,57490,71477,88327,130601,225861,5.0,3.9,63.0,48.5,163.0,125.6,231.0,178.0,448.0,345.2,3212.0,2474.8,759.0,584.8,27.0,20.8,289.7,194284
97,Corona,California,30118,57733,72309,88779,129664,214065,1.0,0.6,36.0,21.3,107.0,63.3,79.0,46.7,561.0,331.6,2177.0,1286.9,559.0,330.4,19.0,11.2,147.6,183947
98,Escondido,California,23828,43034,54268,67850,108163,183953,3.0,2.0,51.0,33.4,174.0,113.8,348.0,227.7,427.0,279.4,1780.0,1164.6,398.0,260.4,29.0,19.0,197.3,160125
99,Fontana,California,30207,52567,65995,79252,112273,178931,6.0,3.1,37.0,19.2,240.0,124.6,476.0,247.2,804.0,417.5,2130.0,1105.9,747.0,387.9,13.0,6.7,212.9,148724
100,Fremont,California,50638,93005,111613,132989,196323,250001,2.0,0.8,68.0,28.8,187.0,79.1,174.0,73.6,673.0,284.7,3545.0,1499.8,865.0,366.0,26.0,11.0,172.4,199363
101,Fresno,California,16609,31652,41842,53777,89356,168023,56.0,10.6,174.0,33.1,958.0,182.0,1786.0,339.3,3649.0,693.2,13782.0,2618.3,2789.0,529.9,217.0,41.2,365.8,151414
102,Fullerton,California,27622,53919,67110,83181,136264,241827,1.0,0.7,63.0,44.5,98.0,69.2,131.0,92.5,293.0,206.9,3273.0,2310.8,386.0,272.5,30.0,21.2,205.0,214205
103,Glendale,California,20366,42954,56069,74159,125691,240690,3.0,1.5,32.0,15.8,127.0,62.8,112.0,55.3,498.0,246.1,2303.0,1138.0,317.0,156.6,13.0,6.4,120.8,220324
104,Hayward,California,29210,54306,68138,83656,128406,223025,5.0,3.1,70.0,43.4,306.0,189.6,182.0,112.8,482.0,298.6,2740.0,1697.5,1801.0,1115.7,37.0,22.9,298.4,193815
105,Irvine,California,36342,76230,93823,113270,175042,250001,2.0,0.7,46.0,16.7,55.0,19.9,66.0,23.9,627.0,227.1,2814.0,1019.1,194.0,70.3,10.0,3.6,87.8,213659
106,Lancaster,California,17099,37921,47684,60337,93920,159669,15.0,9.3,80.0,49.8,337.0,209.8,787.0,489.9,935.0,582.0,1733.0,1078.7,650.0,404.6,40.0,24.9,335.7,142570
107,Modesto,California,21238,40637,50996,64326,100385,177975,20.0,9.4,110.0,51.5,519.0,242.9,1425.0,666.9,1188.0,556.0,5865.0,2744.8,1412.0,660.8,63.0,29.5,467.7,156737
108,Oakland,California,20540,43399,57778,74715,129313,250001,69.0,16.2,400.0,94.1,2676.0,629.8,2376.0,559.2,2622.0,617.1,17305.0,4072.6,5495.0,1293.2,196.0,46.1,718.1,229461
109,Oceanside,California,26014,47857,58949,74208,113944,203843,9.0,5.1,69.0,39.0,165.0,93.3,451.0,255.1,592.0,334.8,3000.0,1696.7,496.0,280.5,22.0,12.4,234.2,177829
110,Ontario,California,24238,45101,54896,65811,98939,157268,8.0,4.6,136.0,77.8,220.0,125.9,319.0,182.6,720.0,412.1,2842.0,1626.6,911.0,521.4,29.0,16.6,281.3,133030
111,Orange,California,34950,62802,79192,94617,147380,250001,4.0,2.8,12.0,8.5,64.0,45.3,138.0,97.8,489.0,346.5,1754.0,1242.8,341.0,241.6,19.0,13.5,138.9,215051
112,Oxnard,California,29867,51290,61709,74979,112602,192034,15.0,7.2,65.0,31.0,430.0,205.2,398.0,190.0,787.0,375.6,3848.0,1836.6,693.0,330.8,43.0,20.5,264.9,162167
113,Palmdale,California,21965,41473,52801,66530,103076,174467,4.0,2.5,37.0,23.4,218.0,137.9,422.0,266.9,613.0,387.7,1611.0,1019.0,435.0,275.2,29.0,18.3,208.5,152502
114,Pasadena,California,25196,56214,73029,92138,151867,250001,8.0,5.6,51.0,35.7,202.0,141.4,313.0,219.0,745.0,521.4,1842.0,1289.1,359.0,251.2,42.0,29.4,234.1,224805
115,Pomona,California,23032,40342,50360,62427,96065,159119,18.0,11.8,88.0,57.5,344.0,224.7,403.0,263.3,718.0,469.1,2516.0,1643.7,1250.0,816.6,26.0,17.0,353.5,136087
116,Riverside,California,24205,46769,58979,72907,110644,191524,12.0,3.7,166.0,50.6,544.0,165.8,947.0,288.7,1673.0,510.0,6629.0,2020.9,1730.0,527.4,73.0,22.3,314.0,167319
117,Roseville,California,33859,62455,78446,96760,142350,230661,0.0,0.0,27.0,20.0,87.0,64.4,123.0,91.1,389.0,288.1,2623.0,1942.6,310.0,229.6,33.0,24.4,169.8,196802
118,Sacramento,California,20085,40406,52071,65805,104727,185908,39.0,7.8,99.0,19.8,1100.0,220.0,2140.0,428.0,2888.0,577.6,9077.0,1815.4,2718.0,543.6,209.0,41.8,339.6,165823
119,Salinas,California,24550,42725,52338,63805,97139,166184,28.0,17.7,71.0,44.8,358.0,226.1,564.0,356.3,964.0,608.9,2589.0,1635.4,1242.0,784.5,24.0,15.2,381.1,141634
120,Stockton,California,18271,34986,46033,58669,96226,169445,55.0,17.8,154.0,49.7,1208.0,390.2,2962.0,956.8,2140.0,691.3,7040.0,2274.2,2049.0,661.9,208.0,67.2,576.1,151174
121,Sunnyvale,California,46021,90699,109799,134423,208382,250001,1.0,0.6,29.0,18.7,56.0,36.1,96.0,62.0,512.0,330.5,1872.0,1208.4,298.0,192.4,19.0,12.3,126.4,203980
122,Torrance,California,32668,63493,80862,99379,152397,250001,0.0,0.0,36.0,24.4,116.0,78.7,115.0,78.0,557.0,377.7,2213.0,1500.5,436.0,295.6,12.0,8.1,168.8,217333
123,Victorville,California,19042,36029,45895,60257,89713,149513,14.0,11.4,54.0,43.8,267.0,216.6,527.0,427.5,830.0,673.2,1839.0,1491.7,649.0,526.4,42.0,34.1,357.1,130471
124,Visalia,California,20830,41615,52099,64328,102271,180339,9.0,6.8,81.0,61.3,144.0,109.0,223.0,168.8,839.0,634.9,2953.0,2234.7,604.0,457.1,16.0,12.1,299.5,159509
125,Arvada,Colorado,34018,57696,72010,87108,130226,221647,0.0,0.0,39.0,32.7,44.0,36.9,110.0,92.2,337.0,282.4,2521.0,2112.3,444.0,372.0,19.0,15.9,189.7,187629
126,Aurora,Colorado,26575,45230,55303,66823,101629,172249,30.0,8.2,319.0,86.7,679.0,184.5,1211.0,329.1,1671.0,454.1,7194.0,1954.8,2189.0,594.8,68.0,18.5,364.4,145674
127,Boulder,Colorado,19371,45530,60569,80375,141093,250001,0.0,0.0,52.0,47.6,30.0,27.5,176.0,161.2,559.0,512.0,2497.0,2286.9,219.0,200.6,19.0,17.4,221.9,230630
128,Brighton,Colorado,30597,50446,62316,75004,115793,173250,0.0,0.0,38.0,97.2,24.0,61.4,126.0,322.3,145.0,370.9,956.0,2445.1,206.0,526.9,8.0,20.5,326.5,142653
129,Broomfield,Colorado,37950,68619,83334,99072,147913,250001,1.0,1.5,23.0,33.7,7.0,10.3,53.0,77.8,197.0,289.0,1400.0,2054.1,193.0,283.2,9.0,13.2,173.6,212051
130,Centennial,Colorado,49725,78578,96422,113449,162204,250001,1.0,0.9,46.0,42.3,26.0,23.9,64.0,58.8,224.0,205.8,977.0,897.6,103.0,94.6,10.0,9.2,112.5,200276
131,Denver,Colorado,22775,44387,56258,72013,118994,233118,59.0,8.3,699.0,98.9,1232.0,174.4,2784.0,394.0,4331.0,612.9,16021.0,2267.3,5560.0,786.8,129.0,18.3,423.5,210343
132,Durango,Colorado,25878,47399,60334,73851,118645,202538,0.0,0.0,2.0,10.6,7.0,37.2,35.0,186.2,62.0,329.8,598.0,3180.7,48.0,255.3,3.0,16.0,227.6,176660
133,Englewood,Colorado,21287,40088,50184,60722,91257,163768,0.0,0.0,8.0,25.1,23.0,72.3,32.0,100.6,231.0,726.1,1393.0,4378.7,143.0,449.5,6.0,18.9,323.9,142481
134,Evans,Colorado,26139,42512,51238,62233,92225,134537,0.0,0.0,1.0,7.4,11.0,81.9,17.0,126.6,96.0,715.2,467.0,3479.1,60.0,447.0,5.0,37.2,296.1,108398
135,Fountain,Colorado,31711,51328,59497,73614,103336,162995,0.0,0.0,29.0,99.3,14.0,47.9,106.0,363.0,115.0,393.8,566.0,1938.2,100.0,342.4,5.0,17.1,298.9,131284
136,Golden,Colorado,24044,46735,59028,78065,139108,246375,1.0,4.8,7.0,33.4,3.0,14.3,12.0,57.3,62.0,296.0,485.0,2315.3,53.0,253.0,3.0,14.3,185.6,222331
137,Greeley,Colorado,21106,40536,50483,61712,95598,158062,5.0,4.7,75.0,70.8,57.0,53.8,312.0,294.6,428.0,404.1,2020.0,1907.4,266.0,251.2,23.0,21.7,265.8,136956
138,Lafayette,Colorado,35042,56952,72895,88059,143677,246904,0.0,0.0,24.0,82.9,7.0,24.2,35.0,120.9,65.0,224.6,607.0,2097.5,39.0,134.8,3.0,10.4,208.2,211862
139,Lakewood,Colorado,26095,47311,58227,71150,109438,189885,5.0,3.2,151.0,96.6,208.0,133.0,643.0,411.3,911.0,582.7,5492.0,3512.8,1193.0,763.1,24.0,15.4,448.2,163790
140,Littleton,Colorado,27683,52453,67133,82126,130817,243839,0.0,0.0,18.0,38.2,15.0,31.8,15.0,31.8,262.0,556.1,996.0,2114.1,171.0,363.0,5.0,10.6,199.0,216156
141,Longmont,Colorado,26917,48580,62847,76753,120464,202507,4.0,4.3,108.0,114.9,26.0,27.7,193.0,205.4,307.0,326.7,1776.0,1889.8,235.0,250.1,60.0,63.8,268.3,175590
142,Louisville,Colorado,42734,75345,94304,117408,166304,250001,0.0,0.0,5.0,23.6,5.0,23.6,8.0,37.7,37.0,174.3,32.0,150.8,16.0,75.4,3.0,14.1,57.7,207267
143,Loveland,Colorado,26545,47268,59353,71947,105506,174259,0.0,0.0,64.0,81.4,26.0,33.0,159.0,202.1,199.0,253.0,1581.0,2009.6,108.0,137.3,15.0,19.1,224.5,147714
144,Montrose,Colorado,18543,32697,41547,52497,81596,127547,1.0,5.2,7.0,36.2,4.0,20.7,32.0,165.4,132.0,682.3,735.0,3799.2,79.0,408.4,2.0,10.3,311.0,109004
145,Northglenn,Colorado,27441,47880,59188,70101,98341,145672,0.0,0.0,30.0,75.9,13.0,32.9,109.0,275.8,130.0,328.9,909.0,2300.1,345.0,873.0,8.0,20.2,310.6,118231
146,Pueblo,Colorado,15074,28140,35770,44947,73370,129839,10.0,9.0,199.0,179.5,219.0,197.5,739.0,666.5,1376.0,1241.1,4234.0,3818.8,1228.0,1107.6,50.0,45.1,682.4,114765
147,Sterling,Colorado,12523,28830,36282,43748,73845,120775,1.0,7.2,14.0,100.3,3.0,21.5,43.0,308.1,84.0,601.9,349.0,2500.9,20.0,143.3,4.0,28.7,316.3,108252
148,Thornton,Colorado,35509,58275,69417,82698,118662,188740,5.0,3.6,150.0,107.3,72.0,51.5,263.0,188.1,,,3028.0,2165.6,739.0,528.5,28.0,20.0,301.2,153231
149,Westminster,Colorado,34299,57554,69805,83301,126747,209151,4.0,3.5,68.0,59.1,46.0,39.9,157.0,136.3,446.0,387.3,2489.0,2161.4,733.0,636.5,12.0,10.4,257.9,174852
150,Naugatuck,Connecticut,28307,48625,59522,77784,122585,209076,0.0,0.0,10.0,31.9,9.0,28.7,17.0,54.3,66.0,210.8,353.0,1127.4,29.0,92.6,1.0,3.2,112.3,180769
151,Dover,Delaware,18735,36600,46355,58531,88670,150546,4.0,10.5,14.0,36.8,38.0,99.8,208.0,546.2,52.0,136.5,1558.0,4091.0,61.0,160.2,9.0,23.6,375.6,131811
152,Harrington,Delaware,21739,34509,39761,53277,75181,113688,0.0,0.0,0.0,0.0,4.0,108.1,17.0,459.6,17.0,459.6,99.0,2676.4,4.0,108.1,0.0,0.0,272.2,91949
153,Lewes,Delaware,30182,46355,66583,80028,125348,230067,0.0,0.0,1.0,31.9,0.0,0.0,3.0,95.8,13.0,415.2,62.0,1980.2,2.0,63.9,0.0,0.0,158.1,199885
154,Milford,Delaware,18880,38071,47557,57747,82618,135500,1.0,8.9,9.0,80.2,23.0,204.9,70.0,623.7,80.0,712.8,552.0,4918.5,13.0,115.8,0.0,0.0,524.1,116620
155,Newark,Delaware,18037,42258,55256,73142,117403,215477,1.0,3.0,11.0,32.6,34.0,100.8,50.0,148.3,71.0,210.5,569.0,1687.3,26.0,77.1,2.0,5.9,180.3,197440
156,Seaford,Delaware,12574,34342,40000,50490,81315,144472,0.0,0.0,3.0,38.1,20.0,253.8,36.0,456.9,51.0,647.2,389.0,4936.5,6.0,76.1,1.0,12.7,446.8,131898
157,Wilmington,Delaware,14056,30224,40065,52167,89231,175763,34.0,47.5,33.0,46.1,381.0,532.5,694.0,969.9,705.0,985.3,2413.0,3372.4,432.0,603.8,2.0,2.8,737.8,161707
158,Clearwater,Florida,19048,35646,44569,55466,97359,184006,3.0,2.6,85.0,73.7,141.0,122.3,349.0,302.7,494.0,428.5,2909.0,2523.1,249.0,216.0,16.0,13.9,309.6,164958
159,Gainesville,Florida,10419,25112,32716,44468,76467,138395,4.0,3.0,164.0,123.5,176.0,132.6,608.0,457.9,500.0,376.6,3915.0,2948.6,363.0,273.4,12.0,9.0,402.4,127976
160,Hialeah,Florida,12457,22963,29817,37555,61677,111246,6.0,2.5,33.0,13.9,154.0,64.6,280.0,117.5,593.0,248.9,3996.0,1677.2,685.0,287.5,24.0,10.1,166.5,98789
