,city,state,20th,40th,Median,60th,80th,95th,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
161,Hollywood,Florida,20536,38222,48579,60043,96501,177819,8.0,5.2,27.0,17.5,176.0,114.4,234.0,152.1,722.0,469.2,3434.0,2231.4,505.0,328.2,9.0,5.8,237.5,157283
162,Homestead,Florida,16326,31660,40452,50631,83146,138867,1.0,1.4,25.0,36.1,251.0,362.3,394.0,568.7,420.0,606.3,1883.0,2718.1,179.0,258.4,9.0,13.0,426.0,122541
163,Jacksonville,Florida,20698,38330,48256,60203,94400,169261,109.0,12.2,538.0,60.1,1376.0,153.8,3625.0,405.2,5646.0,631.1,22980.0,2568.6,2925.0,326.9,96.0,10.7,372.7,148563
164,Kissimmee,Florida,17278,31617,38262,46398,73489,135083,7.0,9.8,32.0,45.0,88.0,123.7,223.0,313.5,314.0,441.4,1633.0,2295.8,157.0,220.7,8.0,11.2,295.9,117805
165,Lakeland,Florida,18531,33149,40918,50788,79225,151445,1.0,0.9,73.0,67.6,89.0,82.5,144.0,133.4,574.0,531.8,3237.0,2999.2,210.0,194.6,3.0,2.8,280.2,132914
166,Largo,Florida,19049,31998,39636,48479,76443,135425,1.0,1.2,71.0,84.8,97.0,115.9,196.0,234.1,310.0,370.2,2315.0,2764.9,231.0,275.9,4.0,4.8,310.4,116376
167,Lauderhill,Florida,16961,30824,37597,45641,72311,124308,18.0,24.9,20.0,27.6,187.0,258.3,439.0,606.3,439.0,606.3,1956.0,2701.4,378.0,522.1,6.0,8.3,462.8,107347
168,Melbourne,Florida,17954,32457,41262,51267,81199,141140,4.0,4.9,63.0,76.8,121.0,147.5,482.0,587.7,548.0,668.2,2679.0,3266.6,172.0,209.7,11.0,13.4,427.2,123186
169,Miami,Florida,11784,24256,31642,41658,76933,179366,52.0,11.2,105.0,22.7,978.0,211.2,2203.0,475.8,2440.0,527.0,14311.0,3090.9,1835.0,396.3,73.0,15.8,391.4,167582
170,Miramar,Florida,31781,52330,64632,76525,112578,187284,3.0,2.1,33.0,23.3,92.0,65.1,280.0,198.1,292.0,206.6,1694.0,1198.6,260.0,184.0,3.0,2.1,159.2,155503
171,Orlando,Florida,18931,34125,44007,54090,87199,169900,23.0,8.1,183.0,64.4,605.0,213.0,1302.0,458.5,2388.0,840.9,11715.0,4125.3,1387.0,488.4,22.0,7.7,486.3,150969
172,Plantation,Florida,30822,55137,67510,81893,124845,238183,1.0,1.1,8.0,8.5,89.0,94.7,133.0,141.5,381.0,405.3,2441.0,2596.9,265.0,281.9,0.0,0.0,220.4,207361
173,Sunrise,Florida,20995,39854,50297,63641,98919,156422,5.0,5.2,8.0,8.4,69.0,72.4,134.0,140.5,234.0,245.4,2306.0,2418.7,247.0,259.1,1.0,1.0,201.7,135427
174,Tallahassee,Florida,14529,31520,40947,51251,88686,168884,17.0,8.8,190.0,98.7,348.0,180.8,948.0,492.6,1519.0,789.3,7165.0,3722.9,744.0,386.6,12.0,6.2,484.5,154355
175,Tamarac,Florida,21042,36352,44399,54038,84375,133780,1.0,1.5,12.0,18.2,63.0,95.5,61.0,92.4,251.0,380.4,1140.0,1727.6,152.0,230.3,1.0,1.5,178.9,112738
176,Tampa,Florida,17250,34987,45874,59647,106370,234506,39.0,10.1,121.0,31.5,406.0,105.6,1219.0,317.2,1235.0,321.3,4900.0,1274.8,567.0,147.5,39.0,10.1,225.9,217256
177,Weston,Florida,41425,74573,93883,113801,176931,250001,0.0,0.0,10.0,14.1,9.0,12.7,22.0,31.1,59.0,83.3,347.0,490.1,50.0,70.6,3.0,4.2,52.4,208576
178,Acworth,Georgia,24444,43683,55226,68113,96346,153085,0.0,0.0,7.0,30.8,6.0,26.4,27.0,118.7,43.0,189.0,513.0,2255.2,23.0,101.1,0.0,0.0,167.8,128641
179,Albany,Georgia,11341,24615,31263,39581,69289,130048,22.0,30.1,27.0,36.9,152.0,207.6,626.0,855.1,879.0,1200.7,3048.0,4163.4,189.0,258.2,28.0,38.2,594.1,118707
180,Alpharetta,Georgia,40634,72609,93613,114488,181060,250001,0.0,0.0,2.0,4.0,24.0,47.6,23.0,45.6,189.0,375.1,1253.0,2486.5,25.0,49.6,1.0,2.0,156.3,209367
181,Atlanta,Georgia,16407,36672,49398,64131,117770,250001,79.0,16.4,282.0,58.6,1413.0,293.6,2730.0,567.2,3390.0,704.3,16304.0,3387.2,3297.0,685.0,74.0,15.4,520.8,233594
182,Carrollton,Georgia,14126,27725,37074,47738,79889,143873,0.0,0.0,14.0,51.9,38.0,141.0,94.0,348.8,149.0,552.9,961.0,3565.7,53.0,196.7,1.0,3.7,350.7,129747
183,Chamblee,Georgia,21530,40705,50707,63446,103831,175925,3.0,18.4,3.0,18.4,96.0,590.4,124.0,762.6,187.0,1150.0,1420.0,8732.6,184.0,1131.5,0.0,0.0,901.6,154395
184,Columbus,Georgia,16786,33493,42661,53595,84591,165037,35.0,17.6,71.0,35.7,394.0,198.2,803.0,403.9,2131.0,1071.8,5985.0,3010.1,704.0,354.1,35.0,17.6,427.7,148251
185,Dalton,Georgia,16292,28732,34682,45506,70044,159522,0.0,0.0,16.0,46.7,17.0,49.7,75.0,219.1,126.0,368.1,782.0,2284.7,73.0,213.3,4.0,11.7,230.3,143230
186,Decatur,Georgia,22504,60054,81598,113129,178056,250001,0.0,0.0,2.0,8.6,27.0,115.5,11.0,47.1,63.0,269.5,441.0,1886.4,27.0,115.5,1.0,4.3,154.5,227497
187,Douglasville,Georgia,19381,37318,48036,62784,100532,170838,0.0,0.0,14.0,41.6,51.0,151.6,179.0,532.1,212.0,630.2,1802.0,5356.7,85.0,252.7,2.0,5.9,463.8,151457
188,Duluth,Georgia,27367,47842,61472,73483,107881,191752,2.0,6.7,3.0,10.1,18.0,60.4,10.0,33.6,79.0,265.1,445.0,1493.5,33.0,110.8,1.0,3.4,133.5,164385
189,Dunwoody,Georgia,37998,65986,83538,103685,163254,250001,1.0,2.1,3.0,6.2,36.0,74.3,51.0,105.3,254.0,524.5,1718.0,3547.4,75.0,154.9,0.0,0.0,243.4,212003
190,Gainesville,Georgia,17235,31040,40321,48918,76469,170565,2.0,4.9,19.0,46.5,34.0,83.3,102.0,249.8,209.0,511.8,1091.0,2671.7,104.0,254.7,13.0,31.8,285.0,153330
191,Griffin,Georgia,12287,24021,30692,39690,70572,129266,2.0,8.7,3.0,13.1,45.0,196.7,154.0,673.1,257.0,1123.3,1029.0,4497.8,51.0,222.9,2.0,8.7,498.0,116979
192,Hinesville,Georgia,21218,36215,42949,52317,77686,128620,2.0,6.0,14.0,41.8,49.0,146.4,150.0,448.1,210.0,627.3,1011.0,3020.0,31.0,92.6,6.0,17.9,351.0,107402
193,Kennesaw,Georgia,27857,49956,63756,73472,108466,170811,0.0,0.0,17.0,49.8,19.0,55.6,36.0,105.4,49.0,143.5,408.0,1194.6,23.0,67.3,1.0,2.9,140.8,142954
194,LaGrange,Georgia,13185,25711,33501,43026,71425,142414,1.0,3.2,3.0,9.7,52.0,167.8,54.0,174.3,258.0,832.8,1234.0,3983.1,71.0,229.2,4.0,12.9,335.4,129229
195,Lawrenceville,Georgia,19133,32543,41578,55251,85054,166045,2.0,6.4,6.0,19.2,37.0,118.7,28.0,89.8,161.0,516.3,740.0,2373.1,46.0,147.5,1.0,3.2,224.6,146912
196,Marietta,Georgia,22856,37699,48154,61357,102085,200390,4.0,6.5,14.0,22.7,102.0,165.5,95.0,154.1,327.0,530.4,1700.0,2757.7,182.0,295.2,4.0,6.5,282.7,177534
197,McDonough,Georgia,20183,34887,45517,56930,81544,126043,0.0,0.0,7.0,28.8,28.0,115.3,37.0,152.4,93.0,383.1,560.0,2306.6,47.0,193.6,0.0,0.0,222.7,105860
198,Milton,Georgia,52943,86734,109784,145483,228275,250001,0.0,0.0,3.0,7.6,3.0,7.6,3.0,7.6,40.0,101.6,247.0,627.1,11.0,27.9,0.0,0.0,44.3,197058
199,Newnan,Georgia,19906,40790,51693,70973,101596,167060,1.0,2.6,5.0,12.9,24.0,61.8,205.0,528.0,154.0,396.7,800.0,2060.5,68.0,175.1,4.0,10.3,263.8,147154
200,Pooler,Georgia,38071,59743,73125,83206,114699,208293,0.0,0.0,2.0,8.3,20.0,83.3,30.0,125.0,65.0,270.8,604.0,2516.0,30.0,125.0,0.0,0.0,186.2,170222
201,Rome,Georgia,13449,29665,36616,47935,81196,163094,3.0,8.2,6.0,16.5,32.0,88.0,164.0,451.0,268.0,737.0,1151.0,3165.0,61.0,167.7,7.0,19.2,337.9,149645
202,Roswell,Georgia,35967,64704,84959,105155,173286,250001,2.0,2.1,15.0,15.7,32.0,33.5,59.0,61.7,229.0,239.5,1278.0,1336.8,109.0,114.0,1.0,1.0,118.5,214034
203,Smyrna,Georgia,28789,50969,64889,79119,126570,221936,3.0,5.2,4.0,6.9,35.0,60.8,130.0,225.8,156.0,270.9,1162.0,2018.2,226.0,392.5,,,210.5,193147
204,Statesboro,Georgia,8966,19265,24499,31848,54547,102545,3.0,9.4,16.0,50.1,50.0,156.6,56.0,175.3,190.0,594.9,736.0,2304.5,36.0,112.7,3.0,9.4,283.7,93579
205,Valdosta,Georgia,11745,24106,31199,39759,70777,142965,10.0,17.6,17.0,30.0,47.0,82.9,141.0,248.6,554.0,976.6,2699.0,4757.7,232.0,409.0,16.0,28.2,425.2,131220
206,Blackfoot,Idaho,17154,33049,44125,57402,83816,133635,1.0,8.4,5.0,42.1,1.0,8.4,34.0,286.4,85.0,716.1,238.0,2005.1,17.0,143.2,1.0,8.4,252.1,116481
207,Buhl,Idaho,14562,28816,34632,46094,67292,115677,0.0,0.0,1.0,23.1,0.0,0.0,13.0,300.5,21.0,485.4,41.0,947.8,9.0,208.0,2.0,46.2,167.1,101115
208,Caldwell,Idaho,18458,34796,42855,50065,73743,116461,0.0,0.0,6.0,11.0,6.0,11.0,127.0,233.7,286.0,526.3,628.0,1155.6,146.0,268.7,8.0,14.7,163.4,98003
209,Chubbuck,Idaho,27525,43222,53354,63510,87846,151578,0.0,0.0,2.0,13.8,4.0,27.6,23.0,158.5,38.0,261.8,503.0,3465.4,12.0,82.7,1.0,6.9,214.5,124053
210,Emmett,Idaho,11700,25192,30331,37206,58026,98438,0.0,0.0,5.0,74.1,0.0,0.0,18.0,266.8,15.0,222.3,68.0,1007.9,4.0,59.3,4.0,59.3,173.3,86738
211,Fruitland,Idaho,20150,41893,47875,52018,78627,106146,0.0,0.0,2.0,38.4,0.0,0.0,1.0,19.2,17.0,326.6,20.0,384.2,1.0,19.2,0.0,0.0,74.4,85996
212,Gooding,Idaho,13667,22344,27055,35186,61230,114582,0.0,0.0,1.0,28.7,1.0,28.7,12.0,344.7,13.0,373.5,13.0,373.5,3.0,86.2,0.0,0.0,148.5,100915
213,Grangeville,Idaho,18266,35095,41432,52357,69913,107710,0.0,0.0,0.0,0.0,0.0,0.0,2.0,63.4,21.0,665.4,22.0,697.1,1.0,31.7,0.0,0.0,89.7,89444
214,Hailey,Idaho,21590,41020,56522,71603,94491,181006,0.0,0.0,0.0,0.0,0.0,0.0,13.0,157.3,14.0,169.3,27.0,326.6,3.0,36.3,1.0,12.1,59.3,159416
215,Heyburn,Idaho,25017,37673,44753,54258,73176,120819,0.0,0.0,1.0,30.8,0.0,0.0,4.0,123.1,15.0,461.5,32.0,984.6,5.0,153.8,0.0,0.0,133.2,95802
216,Jerome,Idaho,19321,29168,38196,47361,63053,104926,0.0,0.0,8.0,70.3,4.0,35.1,15.0,131.8,60.0,527.2,172.0,1511.4,18.0,158.2,2.0,17.6,203.2,85605
217,Ketchum,Idaho,27857,43000,51119,68864,106012,250001,0.0,0.0,2.0,72.5,0.0,0.0,3.0,108.7,1.0,36.2,23.0,833.3,5.0,181.2,0.0,0.0,130.1,222144
218,Kimberly,Idaho,28491,41660,47639,55172,78606,118663,0.0,0.0,1.0,26.2,0.0,0.0,3.0,78.7,21.0,550.9,21.0,550.9,4.0,104.9,1.0,26.2,105.7,90172
219,Lewiston,Idaho,21356,38278,47947,58740,85670,144393,2.0,6.1,11.0,33.3,4.0,12.1,36.0,109.0,188.0,569.2,687.0,2080.0,68.0,205.9,4.0,12.1,203.7,123037
220,McCall,Idaho,19255,37158,49414,58476,92375,140990,0.0,0.0,5.0,149.8,1.0,30.0,3.0,89.9,15.0,449.4,45.0,1348.1,0.0,0.0,0.0,0.0,232.2,121735
221,Meridian,Idaho,31713,52007,64337,73495,110415,188277,0.0,0.0,46.0,46.4,11.0,11.1,92.0,92.7,216.0,217.7,1218.0,1227.3,55.0,55.4,8.0,8.1,127.7,156564
222,Moscow,Idaho,11443,27049,34784,46296,84538,149521,0.0,0.0,8.0,31.3,5.0,19.5,21.0,82.1,86.0,336.3,528.0,2064.4,19.0,74.3,2.0,7.8,159.4,138078
223,Nampa,Idaho,20407,34011,41210,50072,72648,108831,4.0,4.3,70.0,75.2,21.0,22.6,169.0,181.6,461.0,495.4,1718.0,1846.0,276.0,296.6,13.0,14.0,244.1,88424
224,Orofino,Idaho,18000,32063,36864,45351,64656,106417,1.0,32.9,0.0,0.0,0.0,0.0,7.0,230.3,,,33.0,1085.9,3.0,98.7,0.0,0.0,232.3,88417
225,Payette,Idaho,17860,34873,45047,53961,76642,119563,0.0,0.0,2.0,27.0,0.0,0.0,16.0,216.1,24.0,324.1,108.0,1458.5,12.0,162.1,4.0,54.0,158.8,101703
226,Pocatello,Idaho,17355,31962,41172,51633,85060,139425,1.0,1.8,13.0,23.7,9.0,16.4,220.0,401.4,295.0,538.2,1194.0,2178.3,120.0,218.9,7.0,12.8,250.1,122070
227,Preston,Idaho,22225,34602,42632,54207,86114,160235,3.0,55.8,1.0,18.6,1.0,18.6,5.0,93.1,29.0,539.8,27.0,502.6,2.0,37.2,2.0,37.2,211.7,138010
228,Rathdrum,Idaho,23785,37034,45076,56929,88107,135413,0.0,0.0,3.0,37.0,0.0,0.0,13.0,160.2,21.0,258.8,59.0,727.2,9.0,110.9,1.0,12.3,117.7,111628
229,Rexburg,Idaho,10790,20768,26445,33747,62610,126284,0.0,0.0,3.0,10.5,0.0,0.0,8.0,27.9,34.0,118.5,137.0,477.4,5.0,17.4,0.0,0.0,42.7,115494
230,Rigby,Idaho,18860,29321,32863,36962,58909,87338,0.0,0.0,1.0,24.5,1.0,24.5,4.0,98.1,6.0,147.1,56.0,1373.2,3.0,73.6,0.0,0.0,117.7,68478
231,Rupert,Idaho,14223,27908,35011,41957,65654,114944,0.0,0.0,2.0,34.2,0.0,0.0,11.0,188.1,19.0,324.8,70.0,1196.8,4.0,68.4,0.0,0.0,141.0,100721
232,Salmon,Idaho,12942,21277,24216,33917,59932,104968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,165.6,7.0,231.9,0.0,0.0,0.0,0.0,20.9,92026
233,Sandpoint,Idaho,15523,26209,34662,46067,76789,133904,0.0,0.0,2.0,25.2,1.0,12.6,18.0,227.0,40.0,504.4,167.0,2105.7,10.0,126.1,2.0,25.2,199.0,118381
234,Shelley,Idaho,21160,42957,52820,59176,74191,122169,0.0,0.0,1.0,23.1,0.0,0.0,2.0,46.2,12.0,277.2,48.0,1108.8,20.0,462.0,0.0,0.0,128.4,101009
235,Weiser,Idaho,14911,24825,31343,40445,62882,101674,0.0,0.0,3.0,56.8,0.0,0.0,3.0,56.8,15.0,284.0,52.0,984.7,3.0,56.8,0.0,0.0,120.6,86763
236,Aurora,Illinois,29954,51573,63967,79665,122562,216177,6.0,3.0,57.0,28.3,108.0,53.6,350.0,173.6,366.0,181.5,2123.0,1053.1,176.0,87.3,20.0,9.9,141.2,186223
237,Belleville,Illinois,18103,34118,42348,54222,89881,141237,1.0,2.4,34.0,81.9,57.0,137.3,120.0,289.1,325.0,782.9,987.0,2377.7,74.0,178.3,13.0,31.3,333.5,123134
238,Berwyn,Illinois,25348,46150,59574,72257,100981,162312,1.0,1.8,21.0,37.8,57.0,102.5,62.0,111.5,218.0,392.1,779.0,1401.2,120.0,215.9,5.0,9.0,187.6,136964
239,Bloomington,Illinois,24522,49183,63115,77949,126305,219734,3.0,3.8,73.0,93.3,45.0,57.5,222.0,283.9,220.0,281.3,1037.0,1326.0,77.0,98.5,7.0,9.0,237.0,195212
240,Champaign,Illinois,14838,34533,45198,58389,98963,205009,5.0,5.7,83.0,94.8,109.0,124.5,437.0,499.2,446.0,509.5,2054.0,2346.3,123.0,140.5,10.0,11.4,365.2,190171
241,Chicago,Illinois,17903,37658,50434,65250,110628,221221,653.0,24.1,1762.0,65.1,11887.0,439.3,15435.0,570.4,12912.0,477.1,63834.0,2358.8,11578.0,427.8,514.0,19.0,508.2,203318
242,DeKalb,Illinois,13357,31092,38647,52328,89153,151752,1.0,2.3,40.0,92.9,30.0,69.7,118.0,274.1,156.0,362.4,1130.0,2625.3,37.0,86.0,7.0,16.3,292.0,138395
243,Decatur,Illinois,15820,31063,40777,50966,81427,144795,10.0,13.9,52.0,72.1,106.0,146.9,275.0,381.1,731.0,1013.1,1571.0,2177.3,92.0,127.5,30.0,41.6,373.9,128975
244,Elgin,Illinois,27190,47723,60375,73858,111842,191550,2.0,1.8,38.0,33.7,56.0,49.7,128.0,113.5,195.0,172.9,1310.0,1161.7,74.0,65.6,8.0,7.1,131.9,164360
245,Elmhurst,Illinois,43157,79834,100671,121466,189788,250001,0.0,0.0,3.0,6.4,9.0,19.2,22.0,47.0,56.0,119.8,474.0,1013.6,24.0,51.3,1.0,2.1,73.3,206844
246,Evanston,Illinois,25783,53169,71317,92214,162229,250001,1.0,1.3,3.0,4.0,40.0,53.4,78.0,104.1,284.0,378.9,1422.0,1897.3,63.0,84.1,8.0,10.7,151.8,224218
247,Joliet,Illinois,26953,50517,61834,75587,112625,172151,15.0,10.1,67.0,45.2,159.0,107.2,299.0,201.6,446.0,300.7,2014.0,1357.7,165.0,111.2,79.0,53.3,213.1,145198
248,Moline,Illinois,23927,41744,51519,60943,93911,158334,0.0,0.0,31.0,73.7,20.0,47.6,173.0,411.5,234.0,556.6,1083.0,2576.0,46.0,109.4,7.0,16.7,306.3,134407
249,Naperville,Illinois,46886,88115,110676,131554,197260,250001,1.0,0.7,22.0,14.9,33.0,22.3,80.0,54.1,129.0,87.2,1540.0,1041.0,47.0,31.8,8.0,5.4,81.0,203115
250,Peoria,Illinois,17541,35250,46547,60109,98043,192867,12.0,10.5,65.0,56.9,281.0,246.2,509.0,445.9,1119.0,980.2,3357.0,2940.7,334.0,292.6,44.0,38.5,439.2,175326
251,Quincy,Illinois,18323,33884,42078,52279,82243,148936,0.0,0.0,44.0,108.6,19.0,46.9,170.0,419.7,222.0,548.1,930.0,2296.0,42.0,103.7,7.0,17.3,323.4,130613
252,Rockford,Illinois,16118,31521,40143,50639,80216,146251,18.0,12.3,113.0,77.0,427.0,290.9,1773.0,1208.0,1383.0,942.3,3403.0,2318.6,450.0,306.6,58.0,39.5,598.2,130133
253,Springfield,Illinois,19463,39276,50191,63651,102938,188657,11.0,9.5,93.0,80.5,251.0,217.2,864.0,747.6,1210.0,1047.0,3973.0,3437.8,313.0,270.8,50.0,43.3,530.6,169194
254,Urbana,Illinois,8471,23953,33081,44794,80071,168604,0.0,0.0,25.0,59.4,48.0,114.0,69.0,163.9,252.0,598.7,1142.0,2713.2,27.0,64.1,13.0,30.9,270.1,160133
255,Waukegan,Illinois,20333,36944,46802,57712,88184,161511,6.0,6.8,18.0,20.5,138.0,156.8,199.0,226.1,442.0,502.2,1487.0,1689.4,59.0,67.0,11.0,12.5,230.3,141178
256,Wheaton,Illinois,38422,70126,91241,109949,175272,250001,1.0,1.9,12.0,22.5,4.0,7.5,21.0,39.3,54.0,101.0,427.0,799.0,12.0,22.5,6.0,11.2,72.6,211579
257,Anderson,Indiana,14817,26487,34441,42060,65156,113259,1.0,1.8,82.0,149.2,101.0,183.8,76.0,138.3,408.0,742.4,1786.0,3249.7,224.0,407.6,,,420.3,98442
258,Bloomington,Indiana,10129,23369,31254,41956,80312,168432,2.0,2.3,78.0,91.6,52.0,61.1,311.0,365.4,478.0,561.6,1940.0,2279.1,166.0,195.0,13.0,15.3,315.5,158303
259,Carmel,Indiana,49918,87016,106546,127315,201563,250001,1.0,2.3,5.0,11.5,10.0,23.1,2.0,4.6,96.0,221.3,798.0,1839.8,43.0,99.1,4.0,9.2,118.7,200083
260,Columbus,Indiana,23788,44250,56048,69740,106594,189083,1.0,2.1,,,18.0,38.0,4.0,8.5,202.0,426.9,1537.0,3248.0,165.0,348.7,4.0,8.5,230.4,165295
261,Elkhart,Indiana,15842,28376,35555,43176,66571,115477,5.0,9.6,,,71.0,135.7,471.0,900.1,334.0,638.3,1314.0,2511.0,189.0,361.2,,,471.9,99635
262,Evansville,Indiana,16798,29812,36330,44712,70367,121912,20.0,16.8,75.0,62.8,185.0,155.0,545.0,456.6,863.0,723.0,4641.0,3887.9,475.0,397.9,39.0,32.7,459.5,105114
263,Fishers,Indiana,47600,81465,97100,112147,165789,250001,1.0,1.1,14.0,15.2,9.0,9.7,19.0,20.6,69.0,74.7,751.0,813.1,35.0,37.9,2.0,2.2,62.1,202401
264,Franklin,Indiana,25306,44442,53207,63737,99565,152063,0.0,0.0,8.0,31.9,7.0,27.9,112.0,446.9,76.0,303.3,755.0,3012.8,20.0,79.8,0.0,0.0,271.4,126757
265,Gary,Indiana,10076,21467,28895,36752,61730,117773,48.0,63.3,32.0,42.2,192.0,253.3,199.0,262.5,678.0,894.4,1481.0,1953.6,422.0,556.7,51.0,67.3,474.2,107697
266,Goshen,Indiana,20318,35452,43820,50782,76167,126742,1.0,3.0,,,18.0,54.2,7.0,21.1,193.0,581.4,852.0,2566.7,73.0,219.9,2.0,6.0,216.4,106424
267,Greenfield,Indiana,23546,42395,52513,61884,93050,142004,0.0,0.0,12.0,54.9,3.0,13.7,79.0,361.2,63.0,288.0,315.0,1440.2,35.0,160.0,,,210.8,118458
268,Greenwood,Indiana,25532,44480,53592,67140,97361,155884,1.0,1.7,0.0,0.0,21.0,36.5,276.0,480.1,111.0,193.1,1624.0,2825.1,127.0,220.9,5.0,8.7,254.7,130352
269,Hammond,Indiana,17811,33503,41685,50632,76721,126197,12.0,15.7,32.0,41.8,180.0,235.1,262.0,342.3,508.0,663.6,2162.0,2824.3,326.0,425.9,32.0,41.8,397.3,108386
270,Hobart,Indiana,30284,48575,59424,72710,100118,156526,1.0,3.6,5.0,17.8,13.0,46.3,74.0,263.7,98.0,349.2,1015.0,3616.5,56.0,199.5,,,273.1,126242
271,Jeffersonville,Indiana,24728,42246,51130,61784,89066,136554,0.0,0.0,17.0,35.8,32.0,67.4,18.0,37.9,184.0,387.7,1070.0,2254.6,181.0,381.4,3.0,6.3,204.3,111826
272,Kokomo,Indiana,16847,31926,39968,49619,82200,130966,6.0,10.4,36.0,62.3,48.0,83.1,327.0,566.2,413.0,715.1,1169.0,2024.0,87.0,150.6,5.0,8.7,351.9,114119
273,Lafayette,Indiana,18215,33656,42641,51002,72733,128689,4.0,5.5,43.0,59.5,80.0,110.7,237.0,327.9,573.0,792.8,1903.0,2633.0,161.0,222.8,8.0,11.1,336.1,110474
274,Lawrence,Indiana,21603,39482,48650,61534,98887,158200,3.0,7.3,3.0,7.3,114.0,276.5,20.0,48.5,222.0,538.4,674.0,1634.7,167.0,405.0,0.0,0.0,248.5,136597
275,Logansport,Indiana,18031,28735,34085,41536,67745,104672,1.0,5.6,6.0,33.9,6.0,33.9,11.0,62.1,100.0,565.0,535.0,3022.6,25.0,141.2,4.0,22.6,232.8,86641
276,Marion,Indiana,15780,26006,31588,37461,61747,104616,0.0,0.0,10.0,35.2,32.0,112.7,55.0,193.8,152.0,535.5,821.0,2892.4,84.0,295.9,6.0,21.1,277.6,88836
277,Mishawaka,Indiana,18882,31568,38183,46625,71460,124787,3.0,6.2,8.0,16.4,54.0,110.8,40.0,82.1,275.0,564.1,,,,,5.0,10.3,315.3,105905
278,Muncie,Indiana,12660,23940,31373,39602,64156,112767,3.0,4.4,38.0,55.2,85.0,123.5,120.0,174.4,422.0,613.2,1794.0,2607.0,275.0,399.6,,,304.0,100107
279,Noblesville,Indiana,33403,58341,70276,85051,121545,208071,0.0,0.0,,,4.0,6.5,25.0,40.6,75.0,121.9,687.0,1116.6,48.0,78.0,0.0,0.0,83.8,174668
280,Portage,Indiana,20246,41524,54069,68228,96371,140691,3.0,8.2,9.0,24.5,6.0,16.3,34.0,92.5,92.0,250.4,591.0,1608.6,31.0,84.4,,,148.0,120445
281,Richmond,Indiana,13725,24400,30844,41073,69578,125199,3.0,8.1,36.0,97.3,67.0,181.1,89.0,240.5,609.0,1645.9,1149.0,3105.4,139.0,375.7,38.0,102.7,466.0,111474
282,Seymour,Indiana,19948,35540,44143,54364,85474,130364,0.0,0.0,8.0,40.8,8.0,40.8,50.0,255.0,94.0,479.5,572.0,2917.8,66.0,336.7,1.0,5.1,273.1,110416
283,Shelbyville,Indiana,19342,33146,42283,52178,81103,126447,0.0,0.0,,,4.0,21.0,207.0,1086.8,73.0,383.3,423.0,2220.8,37.0,194.3,0.0,0.0,392.7,107105
284,Valparaiso,Indiana,21898,40083,49429,61315,100459,180425,0.0,0.0,8.0,24.0,9.0,27.0,31.0,93.0,52.0,156.0,431.0,1293.2,21.0,63.0,,,113.6,158527
285,Vincennes,Indiana,16271,30463,36870,45629,70551,112106,1.0,5.6,5.0,28.0,11.0,61.6,7.0,39.2,188.0,1053.4,741.0,4152.0,93.0,521.1,4.0,22.4,341.5,95835
286,Westfield,Indiana,44135,75743,90048,110098,152815,246870,0.0,0.0,1.0,8.3,8.0,66.8,9.0,75.1,71.0,592.8,319.0,2663.4,10.0,83.5,1.0,8.3,196.5,202735
287,Altoona,Iowa,32218,59684,72398,91745,124500,201558,0.0,0.0,1.0,5.4,3.0,16.2,20.0,107.8,45.0,242.5,477.0,2570.6,23.0,123.9,2.0,10.8,160.4,169340
288,Ames,Iowa,14402,30110,41278,54858,95984,171903,1.0,1.5,49.0,72.6,23.0,34.1,51.0,75.6,248.0,367.6,1087.0,1611.3,57.0,84.5,0.0,0.0,183.4,157501
289,Ankeny,Iowa,39275,64680,76760,92039,129045,201690,0.0,0.0,23.0,37.6,10.0,16.4,97.0,158.8,143.0,234.1,650.0,1064.0,38.0,62.2,5.0,8.2,130.7,162415
290,Bettendorf,Iowa,31863,60236,75251,93085,138305,243775,0.0,0.0,4.0,11.1,9.0,24.9,41.0,113.5,134.0,370.9,470.0,1300.8,46.0,127.3,4.0,11.1,127.2,211912
291,Boone,Iowa,23201,36889,48135,58032,80538,145680,0.0,0.0,1.0,7.9,1.0,7.9,62.0,491.8,43.0,341.1,104.0,824.9,14.0,111.0,0.0,0.0,172.8,122479
292,Burlington,Iowa,18028,32293,40381,49456,78373,128720,2.0,7.9,14.0,55.5,16.0,63.4,202.0,800.7,240.0,951.4,671.0,2659.8,74.0,293.3,16.0,63.4,435.9,110692
293,Carroll,Iowa,20298,32993,45170,61932,89709,155125,0.0,0.0,0.0,0.0,1.0,10.1,1.0,10.1,53.0,534.3,103.0,1038.3,12.0,121.0,2.0,20.2,93.6,134827
294,Clinton,Iowa,18604,33991,42497,55442,87984,140723,0.0,0.0,32.0,125.3,21.0,82.2,242.0,947.8,277.0,1084.9,874.0,3423.2,104.0,407.3,11.0,43.1,560.0,122119
295,Clive,Iowa,40013,75127,90502,111466,172741,250001,0.0,0.0,2.0,11.2,0.0,0.0,12.0,67.0,38.0,212.1,211.0,1177.9,23.0,128.4,4.0,22.3,94.6,209988
